Temperature_K,Voc,Jsc,FF,PCE,Source_File,MaPbI3_xClx_PAL1___L2___thickness__m,MaPbI3_Ti3C2_PAL2___L3___thickness__m,MaPbI3_xClx_PAL1___L2___shallow_acceptor_density_1_cm,MaPbI3_Ti3C2_PAL2___L3___shallow_acceptor_density_1_cm,MaPbI3_xClx_PAL1___L2___defect_1__total_defect_density__1_cm,MaPbI3_Ti3C2_PAL2___L3___defect_1__total_defect_density__1_cm
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.9.iv,,,,,,
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.9.iv,,,,,,
320.0,0.896629,34.48782564,72.3088,22.3599,ETL_sweep_HTL_0.9.iv,,,,,,
340.0,0.864198,34.46352522,71.9304,21.4233,ETL_sweep_HTL_0.9.iv,,,,,,
360.0,0.831363,34.43454536,71.4392,20.4513,ETL_sweep_HTL_0.9.iv,,,,,,
380.0,0.798151,34.40397097,70.8351,19.451,ETL_sweep_HTL_0.9.iv,,,,,,
400.0,0.764569,34.36838093,70.1202,18.4255,ETL_sweep_HTL_0.9.iv,,,,,,
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.8.iv,,,,,,
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.8.iv,,,,,,
320.0,0.896629,34.48782564,72.3088,22.3599,ETL_sweep_HTL_0.8.iv,,,,,,
340.0,0.864198,34.46352522,71.9304,21.4233,ETL_sweep_HTL_0.8.iv,,,,,,
360.0,0.831363,34.43454536,71.4392,20.4513,ETL_sweep_HTL_0.8.iv,,,,,,
380.0,0.798151,34.40397097,70.8351,19.451,ETL_sweep_HTL_0.8.iv,,,,,,
400.0,0.764569,34.36838093,70.1202,18.4255,ETL_sweep_HTL_0.8.iv,,,,,,
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.7.iv,,,,,,
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.7.iv,,,,,,
320.0,0.896629,34.48782564,72.3088,22.3599,ETL_sweep_HTL_0.7.iv,,,,,,
340.0,0.864198,34.46352522,71.9304,21.4233,ETL_sweep_HTL_0.7.iv,,,,,,
360.0,0.831363,34.43454536,71.4392,20.4513,ETL_sweep_HTL_0.7.iv,,,,,,
380.0,0.798151,34.40397097,70.8351,19.451,ETL_sweep_HTL_0.7.iv,,,,,,
400.0,0.764569,34.36838093,70.1202,18.4255,ETL_sweep_HTL_0.7.iv,,,,,,
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.3.iv,,,,,,
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.3.iv,,,,,,
320.0,0.896629,34.48782564,72.3088,22.3599,ETL_sweep_HTL_0.3.iv,,,,,,
340.0,0.864198,34.46352522,71.9304,21.4233,ETL_sweep_HTL_0.3.iv,,,,,,
360.0,0.831363,34.43454536,71.4392,20.4513,ETL_sweep_HTL_0.3.iv,,,,,,
380.0,0.798151,34.40397097,70.8351,19.451,ETL_sweep_HTL_0.3.iv,,,,,,
400.0,0.764569,34.36838093,70.1202,18.4255,ETL_sweep_HTL_0.3.iv,,,,,,
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.2.iv,,,,,,
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.2.iv,,,,,,
320.0,0.896629,34.48782564,72.3088,22.3599,ETL_sweep_HTL_0.2.iv,,,,,,
340.0,0.864198,34.46352522,71.9304,21.4233,ETL_sweep_HTL_0.2.iv,,,,,,
360.0,0.831363,34.43454536,71.4392,20.4513,ETL_sweep_HTL_0.2.iv,,,,,,
380.0,0.798151,34.40397097,70.8351,19.451,ETL_sweep_HTL_0.2.iv,,,,,,
400.0,0.764569,34.36838093,70.1202,18.4255,ETL_sweep_HTL_0.2.iv,,,,,,
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.6.iv,,,,,,
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.6.iv,,,,,,
320.0,0.896629,34.48782564,72.3088,22.3599,ETL_sweep_HTL_0.6.iv,,,,,,
340.0,0.864198,34.46352522,71.9304,21.4233,ETL_sweep_HTL_0.6.iv,,,,,,
360.0,0.831363,34.43454536,71.4392,20.4513,ETL_sweep_HTL_0.6.iv,,,,,,
380.0,0.798151,34.40397097,70.8351,19.451,ETL_sweep_HTL_0.6.iv,,,,,,
400.0,0.764569,34.36838093,70.1202,18.4255,ETL_sweep_HTL_0.6.iv,,,,,,
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.1.iv,,,,,,
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.1.iv,,,,,,
320.0,0.896629,34.48782564,72.3088,22.3599,ETL_sweep_HTL_0.1.iv,,,,,,
340.0,0.864198,34.46352522,71.9304,21.4233,ETL_sweep_HTL_0.1.iv,,,,,,
360.0,0.831363,34.43454536,71.4392,20.4513,ETL_sweep_HTL_0.1.iv,,,,,,
380.0,0.798151,34.40397097,70.8351,19.451,ETL_sweep_HTL_0.1.iv,,,,,,
400.0,0.764569,34.36838093,70.1202,18.4255,ETL_sweep_HTL_0.1.iv,,,,,,
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.5.iv,,,,,,
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.5.iv,,,,,,
320.0,0.896629,34.48782564,72.3088,22.3599,ETL_sweep_HTL_0.5.iv,,,,,,
340.0,0.864198,34.46352522,71.9304,21.4233,ETL_sweep_HTL_0.5.iv,,,,,,
360.0,0.831363,34.43454536,71.4392,20.4513,ETL_sweep_HTL_0.5.iv,,,,,,
380.0,0.798151,34.40397097,70.8351,19.451,ETL_sweep_HTL_0.5.iv,,,,,,
400.0,0.764569,34.36838093,70.1202,18.4255,ETL_sweep_HTL_0.5.iv,,,,,,
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.4.iv,,,,,,
300.0,0.92863,34.50852514,72.5696,23.2554,ETL_sweep_HTL_0.4.iv,,,,,,
320.0,0.896629,34.48782564,72.3088,22.3599,ETL_sweep_HTL_0.4.iv,,,,,,
340.0,0.864198,34.46352522,71.9304,21.4233,ETL_sweep_HTL_0.4.iv,,,,,,
360.0,0.831363,34.43454536,71.4392,20.4513,ETL_sweep_HTL_0.4.iv,,,,,,
380.0,0.798151,34.40397097,70.8351,19.451,ETL_sweep_HTL_0.4.iv,,,,,,
400.0,0.764569,34.36838093,70.1202,18.4255,ETL_sweep_HTL_0.4.iv,,,,,,
300.0,1.043567,34.57522428,59.0498,21.3061,IV_defect.iv,,,,,,
300.0,1.486855,34.50852528,45.3223,23.2545,IV_defect.iv,,,,,,
300.0,3.654756,30.54191467,21.0249,23.4687,IV_defect.iv,0.3,0.3,,,,
